id,sex,age,education,job,salary,phone,marry,email,company,fired,value
Cust-10015,男,34,高中,普通工人,5至10万,151****0139,是,jaclyn12@adventure-works.com,3448 Sun View Terr.,否,高价值客户
Cust-10030,男,54,硕士及其以上,技术工人,10至20万,132****0174,是,mariah6@adventure-works.com,4924 Mariposa,否,低价值客户
Cust-10045,男,37,高中,普通工人,5至10万,185****0117,否,ebony4@adventure-works.com,4381 Amazonas,否,低价值客户
Cust-10060,女,60,初中及其以下,普通工人,5万以下,155****0164,是,brooke7@adventure-works.com,5720 A St.,是,低价值客户
Cust-10075,男,28,本科,公司白领,30万以上,145****0190,是,dalton18@adventure-works.com,1906 Seaview Avenue,否,一般价值客户
Cust-10090,女,36,高中,普通工人,5至10万,152****0117,否,linda31@adventure-works.com,265 Jeff Ct,否,一般价值客户
Cust-10105,女,27,大专,普通工人,10至20万,147****0188,否,ian57@adventure-works.com,1940 C Mt. Hood Circle,否,高价值客户
Cust-10120,女,40,大专,普通工人,5至10万,137****0151,否,jennifer92@adventure-works.com,8143 Creekridge Lane,否,一般价值客户
Cust-10135,女,40,本科,公司白领,20至30万,166****0173,否,jesse15@adventure-works.com,8811 The Trees Dr.,否,高价值客户
Cust-10150,女,48,大专,普通工人,10至20万,136****0190,是,jennifer52@adventure-works.com,2755 Fairfield Ave,否,一般价值客户
Cust-10165,女,19,高中,普通工人,5至10万,188****0142,是,orlando14@adventure-works.com,7031 Horseshoe Circle,否,低价值客户
Cust-10180,男,27,高中,普通工人,5至10万,186****0185,是,morgan29@adventure-works.com,6091 Bluefish Lane,否,高价值客户
Cust-10195,女,40,初中及其以下,普通工人,5万以下,180****0154,否,victoria20@adventure-works.com,5872 L St.,否,一般价值客户
Cust-10210,女,55,高中,普通工人,5至10万,138****0143,否,maurice4@adventure-works.com,2964 Mt. Washington,否,高价值客户
Cust-10225,女,39,高中,普通工人,5至10万,177****0131,是,dennis7@adventure-works.com,1433 Manila Avenue,否,一般价值客户
Cust-10240,女,52,初中及其以下,普通工人,10至20万,181****0131,否,lindsay3@adventure-works.com,6968 Hobby Court,否,低价值客户
Cust-10255,女,27,大专,普通工人,10至20万,180****0189,是,sebastian12@adventure-works.com,6837 Pirate Lane,否,低价值客户
Cust-10270,女,38,高中,普通工人,10至20万,176****0116,是,sarah40@adventure-works.com,7784 Mt. Etna,否,高价值客户
Cust-10285,女,32,大专,普通工人,10至20万,132****0148,否,lance14@adventure-works.com,8328 San Francisco,否,低价值客户
Cust-10300,男,25,本科,技术工人,20至30万,152****0145,否,adam10@adventure-works.com,5457 Woodcrest Dr.,否,一般价值客户
Cust-10315,女,64,高中,管理人员,5至10万,150****0171,否,jenny21@adventure-works.com,1613 Cotton Ct,是,一般价值客户
Cust-10330,男,36,高中,普通工人,10至20万,171****0156,是,carla24@adventure-works.com,3788 Concord Place,否,低价值客户
Cust-10345,男,65,初中及其以下,普通工人,10至20万,181****0124,是,hannah9@adventure-works.com,5800 Abbey Court,是,一般价值客户
Cust-10360,女,38,本科,技术工人,30万以上,166****0148,是,rachael1@adventure-works.com,4598 Manila Avenue,否,一般价值客户
Cust-10375,男,51,硕士及其以上,专业人员,20至30万,187****0122,是,george13@adventure-works.com,4332 Listing Ct,否,低价值客户
Cust-10390,男,62,硕士及其以上,管理人员,20至30万,183****0167,是,justin27@adventure-works.com,5485 Wee Donegal,是,一般价值客户
Cust-10405,女,57,硕士及其以上,技术工人,20至30万,188****0121,是,jillian15@adventure-works.com,1850 Lancelot Drive,是,一般价值客户
Cust-10420,女,39,本科,专业人员,20至30万,155****0129,是,latoya0@adventure-works.com,1064 Armstrong Rd.,否,低价值客户
Cust-10435,女,47,初中及其以下,普通工人,10至20万,152****0180,否,randall2@adventure-works.com,9431 College Blvd,否,一般价值客户
Cust-10450,男,26,高中,普通工人,5至10万,137****0163,否,melvin13@adventure-works.com,297 Mt. Tank Circle,否,一般价值客户
Cust-10465,女,47,本科,公司白领,20至30万,177****0113,否,deborah21@adventure-works.com,5539 Choctaw Court,否,低价值客户
Cust-10480,女,53,大专,管理人员,10至20万,152****0182,否,lauren35@adventure-works.com,71 Tobi Drive,否,一般价值客户
Cust-10495,女,62,本科,专业人员,20至30万,147****0192,否,zoe6@adventure-works.com,6030 Winter Drive,是,高价值客户
Cust-10510,男,42,本科,专业人员,20至30万,133****0156,是,jasmine32@adventure-works.com,7547 Payot Court,否,一般价值客户
Cust-10525,女,33,本科,管理人员,20至30万,130****0117,否,kristi39@adventure-works.com,5626 Mt. View Drive,否,高价值客户
Cust-10540,女,49,高中,普通工人,10至20万,133****0118,是,maurice20@adventure-works.com,2837 Hacienda Drive,否,高价值客户
Cust-10555,女,32,本科,专业人员,30万以上,186****0195,是,nicholas16@adventure-works.com,1102 Ravenwood,否,一般价值客户
Cust-10570,男,34,本科,公司白领,20至30万,189****0141,否,shawn19@adventure-works.com,6554 Sucamore Dr.,否,高价值客户
Cust-10585,男,39,本科,技术工人,30万以上,175****0185,是,nathaniel0@adventure-works.com,3774 Napa Court,否,一般价值客户
Cust-10600,男,53,初中及其以下,普通工人,10至20万,182****0197,是,richard30@adventure-works.com,9206 Listing Ct.,否,一般价值客户
Cust-10630,男,40,高中,普通工人,10至20万,189****0144,是,meagan11@adventure-works.com,3515 Sutton Circle,否,低价值客户
Cust-10645,男,21,高中,普通工人,5至10万,136****0134,是,terrance9@adventure-works.com,4638 Chestnut Ave,否,一般价值客户
Cust-10660,男,60,初中及其以下,普通工人,5万以下,175****0160,是,dorothy3@adventure-works.com,5972 Donegal Court,是,低价值客户
Cust-10675,女,43,高中,普通工人,5至10万,166****0190,是,theodore3@adventure-works.com,4392 Lakeview Pl.,否,低价值客户
Cust-10690,女,60,初中及其以下,管理人员,5万以下,186****0134,是,frederick14@adventure-works.com,1663 Park Glen Court,是,一般价值客户
Cust-10705,男,45,大专,普通工人,5至10万,185****0145,否,megan23@adventure-works.com,8358 Lightwood Drive,否,低价值客户
Cust-10720,女,27,本科,技术工人,20至30万,159****0155,是,jon46@adventure-works.com,8245 Highland Dr.,否,一般价值客户
Cust-10735,女,59,本科,专业人员,30万以上,182****0144,是,alex35@adventure-works.com,8681 Harvard Court,否,低价值客户
Cust-10750,男,36,初中及其以下,普通工人,5万以下,188****0127,否,julio1@adventure-works.com,8341 Ronda Ct.,否,低价值客户
Cust-10765,女,30,硕士及其以上,技术工人,30万以上,182****0143,是,mary40@adventure-works.com,2269 Mcelroy,否,低价值客户
Cust-10780,男,45,本科,技术工人,20至30万,136****0190,否,ian72@adventure-works.com,2665 Rosina Court,否,低价值客户
Cust-10795,女,56,高中,普通工人,5至10万,171****0193,否,grace62@adventure-works.com,6919 Tosca Way,是,高价值客户
Cust-10810,男,41,高中,普通工人,5至10万,175****0119,否,seth2@adventure-works.com,8989 Adelia Court,否,低价值客户
Cust-10825,男,51,本科,专业人员,20至30万,183****0163,否,brendan13@adventure-works.com,8772 Rock Creek Way,否,高价值客户
Cust-10840,男,43,本科,管理人员,20至30万,181****0187,否,megan44@adventure-works.com,7126 Edie Ct.,否,高价值客户
Cust-10855,男,46,初中及其以下,普通工人,5万以下,177****0111,否,elizabeth7@adventure-works.com,9484 Rhoda Way,否,一般价值客户
Cust-10870,男,50,本科,专业人员,20至30万,182****0186,否,morgan26@adventure-works.com,676 Yosemite Ct,否,高价值客户
Cust-10885,男,61,初中及其以下,普通工人,5至10万,145****0153,是,dalton84@adventure-works.com,4399 Mary Drive,是,高价值客户
Cust-10900,男,26,本科,公司白领,30万以上,132****0195,否,ryan39@adventure-works.com,4248 Semillon Circle,否,一般价值客户
Cust-10915,女,37,大专,普通工人,5至10万,132****0195,是,jennifer63@adventure-works.com,2062 Dos Encinas,否,高价值客户
Cust-10930,男,55,初中及其以下,普通工人,5万以下,149****0166,否,samuel19@adventure-works.com,2601 Cambridge Drive,否,高价值客户
Cust-10945,男,45,大专,普通工人,5万以下,188****0112,是,caleb4@adventure-works.com,5886 Book Rd,否,一般价值客户
Cust-10960,男,54,高中,普通工人,5至10万,139****0181,是,katrina19@adventure-works.com,1060 Mcelroy Court,否,一般价值客户
Cust-10975,男,44,本科,专业人员,20至30万,130****0191,是,candace15@adventure-works.com,5974 Sequoia Drive,否,高价值客户
Cust-10990,女,20,大专,普通工人,5至10万,158****0126,否,deanna33@adventure-works.com,563 Coggind Drive,否,一般价值客户
Cust-11005,男,38,高中,普通工人,10至20万,182****0118,是,blake60@adventure-works.com,4312 Wintergreen Court,否,一般价值客户
Cust-11020,男,39,高中,普通工人,5至10万,156****0178,否,morgan15@adventure-works.com,5566 Banyan Circle,否,低价值客户
Cust-11035,男,34,高中,普通工人,5至10万,157****0113,是,shaun21@adventure-works.com,9395 Aspect Dr,否,高价值客户
Cust-11050,男,23,初中及其以下,普通工人,5万以下,156****0178,是,jennifer88@adventure-works.com,9389 RaceCourt,否,高价值客户
Cust-11065,男,40,本科,公司白领,30万以上,199****0195,是,courtney14@adventure-works.com,1867 Royal Ann Lane,否,一般价值客户
Cust-11080,女,35,本科,专业人员,20至30万,181****0118,是,amy16@adventure-works.com,9274 Dayton Court,否,一般价值客户
Cust-11095,男,52,高中,普通工人,5至10万,158****0180,是,rafael27@adventure-works.com,1679 Via Doble,否,低价值客户
Cust-11110,女,44,高中,管理人员,5至10万,175****0150,是,aaron3@adventure-works.com,5870 Louisiana Dr.,否,一般价值客户
Cust-11125,男,69,高中,普通工人,5至10万,178****0130,是,johnny11@adventure-works.com,3488 Cook St.,是,一般价值客户
Cust-11140,女,66,本科,公司白领,20至30万,171****0186,否,donna9@adventure-works.com,7892 M Ln.,是,一般价值客户
Cust-11155,女,38,本科,专业人员,30万以上,172****0118,否,gabrielle63@adventure-works.com,1201 Olive Hill,否,一般价值客户
Cust-11170,女,29,大专,普通工人,10至20万,185****0195,否,elizabeth6@adventure-works.com,7906 Clayburn Road,否,一般价值客户
Cust-11185,女,63,高中,普通工人,10至20万,157****0117,是,kristina1@adventure-works.com,6524 Geriola Court,是,一般价值客户
Cust-11200,男,54,本科,技术工人,20至30万,145****0114,是,jerry20@adventure-works.com,7256 St. Paul Circle,否,一般价值客户
Cust-11215,男,72,高中,普通工人,5至10万,189****0120,否,adam34@adventure-works.com,9412 Alhambra Avenue,是,一般价值客户
Cust-11230,男,67,本科,管理人员,20至30万,155****0149,否,edwin39@adventure-works.com,3084 Cedar Point Loop,是,一般价值客户
Cust-11245,男,57,初中及其以下,普通工人,5至10万,147****0114,是,naomi7@adventure-works.com,2012 Melody Dr,否,一般价值客户
Cust-11260,男,58,高中,普通工人,10至20万,130****0195,是,jacqueline8@adventure-works.com,9531 Tri-state Ave,否,一般价值客户
Cust-11275,女,36,初中及其以下,普通工人,5万以下,156****0116,是,trevor18@adventure-works.com,6891 Ham Drive,否,一般价值客户
Cust-11290,女,50,初中及其以下,普通工人,5万以下,166****0165,是,kara20@adventure-works.com,6899 Pembroke Dr.,否,低价值客户
Cust-11320,女,33,高中,普通工人,5至10万,157****0172,否,edward28@adventure-works.com,457 Ryan Rd.,否,低价值客户
Cust-11335,女,44,高中,普通工人,5至10万,180****0142,是,tyrone15@adventure-works.com,1547 Larkwood Ct.,否,一般价值客户
Cust-11350,女,48,高中,普通工人,10至20万,186****0129,否,damien26@adventure-works.com,2187 S. Rising Ave,否,一般价值客户
Cust-11365,男,49,高中,普通工人,10至20万,186****0183,是,benjamin43@adventure-works.com,9982 Fawn Glen Circle,否,一般价值客户
Cust-11380,男,30,高中,普通工人,5至10万,199****0175,是,amy19@adventure-works.com,1907 Pinecrest Dr,否,一般价值客户
Cust-11395,女,47,大专,普通工人,5至10万,183****0171,是,diane19@adventure-works.com,5050 Mt. Diablo St.,否,一般价值客户
Cust-11410,男,37,高中,普通工人,5至10万,139****0176,否,amanda53@adventure-works.com,3187 Hackamore Lane,否,高价值客户
Cust-11425,女,53,初中及其以下,普通工人,5万以下,147****0111,是,chad13@adventure-works.com,1183 Royal Links Circle,否,一般价值客户
Cust-11440,女,52,初中及其以下,普通工人,10至20万,137****0119,是,jose20@adventure-works.com,5446 Via Estrella,否,高价值客户
Cust-11455,女,57,大专,普通工人,10至20万,133****0151,否,jessica56@adventure-works.com,3782 Fox Way,否,高价值客户
