CN-2017-100001,2017-01-01,海恒店,信用卡,2017-01-03,3,Cust-18715,邢宁,公司,常德,湖南,中南,Prod-10004819,诺基亚_智能手机_整包,技术,电话,1725.36,3,0,68.88,王倩倩,0,2017
CN-2017-100002,2017-01-01,庐江路,信用卡,2017-01-07,6,Cust-10555,彭博,公司,沈阳,辽宁,东北,Prod-10000928,Eaton_令_每包_12_个,办公用品,纸张,572.88,4,0,183.12,郝杰,0,2017
CN-2017-100003,2017-01-03,定远路店,微信,2017-01-07,6,Cust-15985,薛磊,消费者,湛江,广东,中南,Prod-10003382,施乐_计划信息表_多色,办公用品,纸张,304.92,3,0,97.44,王倩倩,0,2017
CN-2017-100004,2017-01-03,众兴店,信用卡,2017-01-07,6,Cust-15985,薛磊,消费者,湛江,广东,中南,Prod-10002532,Hon_椅垫_可调,家具,椅子,243.684,1,0.1,108.304,王倩倩,0,2017
CN-2017-100005,2017-01-03,燎原店,信用卡,2017-01-08,3,Cust-12490,洪毅,公司,宁波,浙江,华东,Prod-10000979,Cuisinart_搅拌机_白色,办公用品,器具,729.456,4,0.4,-206.864,杨洪光,1,2017
CN-2017-100006,2017-01-03,庐江路,信用卡,2017-01-08,3,Cust-12490,洪毅,公司,宁波,浙江,华东,Prod-10001460,Harbour_Creations_摇椅_可调,家具,椅子,418.824,1,0.4,-195.496,杨洪光,0,2017
CN-2017-100007,2017-01-03,众兴店,微信,2017-01-08,3,Cust-15820,黄丽,消费者,廊坊,河北,华北,Prod-10002581,Avery_可去除的标签_可调,办公用品,标签,161.28,4,0,72.24,张怡莲,0,2017
CN-2017-100008,2017-01-03,定远路店,其它,2017-01-08,3,Cust-12490,洪毅,公司,宁波,浙江,华东,Prod-10003153,贝尔金_键区_耐用,技术,配件,811.44,5,0.4,-419.86,杨洪光,0,2017
CN-2017-100009,2017-01-03,庐江路,微信,2017-01-08,3,Cust-12490,洪毅,公司,宁波,浙江,华东,Prod-10000979,Hon_凳子_可调,家具,椅子,930.384,2,0.4,-139.776,杨洪光,1,2017
CN-2017-100010,2017-01-04,燎原店,微信,2017-01-07,1,Cust-10975,白婵,公司,南通,江苏,华东,Prod-10001047,Smead_锁柜_蓝色,办公用品,收纳具,2777.88,3,0,1277.64,杨洪光,0,2017
CN-2017-100011,2017-01-04,人民路店,微信,2017-01-07,1,Cust-10975,白婵,公司,南通,江苏,华东,Prod-10003397,Acme_开信刀_钢,办公用品,用品,82.908,1,0.4,-40.152,杨洪光,0,2017
CN-2017-100012,2017-01-04,燎原店,支付宝,2017-01-08,6,Cust-17650,彭丽雪,小型企业,长春,吉林,东北,Prod-10003550,Avery_合法证物标签_白色,办公用品,标签,52.92,1,0,13.16,郝杰,1,2017
CN-2017-100013,2017-01-04,临泉路,其它,2017-01-08,6,Cust-17650,彭丽雪,小型企业,长春,吉林,东北,Prod-10002874,Enermax_键区_可编程,技术,配件,823.62,3,0,411.6,郝杰,0,2017
